Artist,Album,EP/LP,Released,Listened,Score,Stars,Re-rate,Vibes
Fucked Up,Another Day,LP,August 9,August 13,3.5,★★★✬,,"hardcore, hardcore punk, punk, canadian,"
DJ Sabrina The Teenage DJ,HEX,LP,August 10,August 12,3.5,★★★✬,,"outsider house, house, electronic, french house,"
Oso Oso,life till bones,LP,August 9,August 9,3.5,★★★✬,,"emo, pop punk, midwest emo, indie rock,"
NightjaR,Mala Leche,LP,June 21,August 7,3.5,★★★✬,,"dubstep, heavy metal, lithuanian, spanish metal,"
Killer Mike,Songs For Sinners And Saints,LP,August 2,August 6,3.5,★★★✬,,"hip-hop, rap, dirty south, southern rap,"
Raphael Roginski,Žaltys,LP,June 21,July 30,3.5,★★★✬,,"jazz, klezmer, folk, blues,"
Porter Robinson,SMILE! :D,LP,July 26,July 26,3.5,★★★✬,,"electro house, electronic, dubstep, house,"
Luke Temple,Certain Limitations,LP,July 12,July 25,3.5,★★★✬,,"folk, singer-songwriter, indie, acoustic,"
Los Campesinos!,All Hell,LP,July 19,July 22,3.5,★★★✬,,"indie pop, indie, british, indie rock,"
Moon Diagrams ,Cemetery Classics,LP,June 21,July 9,3.5,★★★✬,,"ambient techno, ambient, electronic, techno"
Blind Girls,An Exit Exists,LP,July 5,July 8,3.5,★★★✬,,"screamo, australia, emoviolence, skramz,"
Zsela,Big For You,LP,June 14,July 2,3.5,★★★✬,,"rnb, art pop, experimental, usa,"
Sour Widows,Revival Of A Friend,LP,June 28,July 2,3.5,★★★✬,,"indie rock, americana, folk rock, indie folk,"
Megan Thee Stallion,MEGAN,LP,June 28,July 1,3.5,★★★✬,,"rap, hip-hop, trap, hip hop,"
Prefuse 73,New Strategies For Modern Crime Volume 2,LP,June 28,July 1,3.5,★★★✬,,"electronic, hip-hop, idm, trip-hop,"
Firewalker,Hell Bent,LP,June 28,June 28,3.5,★★★✬,,"hardcore, hardcore punk, punk, boston hardcore,"
MONO,OATH,LP,June 14,June 27,3.5,★★★✬,,"post-rock, instrumental, japanese, ambient,"
Sis,Vibhuti,LP,June 21,June 25,3.5,★★★✬,,"minimal, tech house, house, minimal techno,"
doris,four trees,LP,June 7,June 24,3.5,★★★✬,,"swedish, pop, jazz, argentina,"
Been Stellar,"Scream from New York, NY",LP,June 21,June 21,3.5,★★★✬,,"indie rock, punk rock, punk, alternative rock,"
This Is Lorelei,"Box for Buddy, Box for Star",LP,June 14,June 18,3.5,★★★✬,,"experimental, indie pop, noise pop, indie rock,"
Mk.gee,Two Star & The Dream Police,LP,February 9,June 17,3.5,★★★✬,,"electronic, indie, indie pop, funk,"
Beings,There Is A Garden,LP,June 7,June 11,3.5,★★★✬,,"noise, folk, experimental, noise rock,"
AURORA,What Happened To The Heart?,LP,June 7,June 10,3.5,★★★✬,,"trance, melodic death metal, dance, vocal trance,"
Tems,Born in the Wild,LP,June 7,June 10,3.5,★★★✬,,"rnb, soul, nigeria, pop,"
Porcupine,All Is Vapor,LP,June 7,June 10,3.5,★★★✬,,"hardcore, hardcore punk, chaotic hardcore, rock,"
KAYTRANADA,TIMELESS,LP,June 7,June 7,3.5,★★★✬,,"electronic, hip-hop, beats, experimental,"
Peggy Gou,I Hear You,LP,June 7,June 7,3.5,★★★✬,,"house, techno, electronic, deep house,"
CANDY,It's Inside You,LP,June 7,June 7,3.5,★★★✬,,"hardcore, metalcore, hardcore punk, power pop,"
Thou,Umbilical,LP,May 31,June 5,3.5,★★★✬,,"sludge, doom metal, drone, sludge metal,"
Young Jesus,The Fool,LP,May 24,June 3,3.5,★★★✬,,"indie rock, indie, rock, alternative,"
Vince Staples,Dark Times,LP,May 24,May 24,3.5,★★★✬,,"hip-hop, rap, underground hip-hop, hip hop,"
Pallbearer,Mind Burns Alive,LP,May 17,May 20,3.5,★★★✬,,"doom metal, traditional doom metal, doom, metal,"
From Indian Lakes,Head Void,LP,May 17,May 17,3.5,★★★✬,,"indie rock, indie, alternative, rock,"
Shellac,To All Trains,LP,May 17,May 17,3.5,★★★✬,,"math rock, noise rock, post-punk, indie rock,"
Dehd,Poetry,LP,May 10,May 15,3.5,★★★✬,,"indie rock, post-punk, garage rock, crank wave,"
Various Artists,I Saw The TV Glow,LP,May 10,May 14,3.5,★★★✬,,"electronic, indie, mistagged artist, jazz,"
Mary Lattimore • Walt McClements,Rain on the Road,LP,May 10,May 14,3.5,★★★✬,,"ambient, harp, new age, experimental,"
Myriam Gendron,Mayday,LP,May 10,May 10,3.5,★★★✬,,"folk, singer-songwriter, canada, contemporary folk,"
Iglooghost,Tidal Memory Exo,LP,May 10,May 10,3.5,★★★✬,,"wonky, electronic, glitch hop, experimental,"
Future • Metro Boomin,WE STILL DON'T TRUST YOU,LP,April 12,May 9,3.5,★★★✬,,"hip-hop, rap, trap, hip hop,"
Jessica Pratt,Here in the Pitch,LP,May 3,May 6,3.5,★★★✬,,"folk, singer-songwriter, female vocalists, acoustic,"
Mdou Moctar,Funeral for Justice,LP,May 3,May 3,3.5,★★★✬,,"psychedelic rock, niger, tuareg, world,"
Oolong,Oolong,LP,April 20,April 30,3.5,★★★✬,,"math rock, emo, midwest emo, indie,"
Justice,Hyperdrama,LP,April 26,April 29,3.5,★★★✬,,"electronic, electro, french, dance,"
Iron & Wine,Light Verse,LP,April 26,April 26,3.5,★★★✬,,"folk, indie folk, indie, singer-songwriter,"
St. Vincent,All Born Screaming,LP,April 26,April 26,3.5,★★★✬,,"female vocalists, indie, singer-songwriter, indie pop,"
Nia Archives,Silence Is Loud,LP,April 12,April 25,3.5,★★★✬,,"jungle, drum and bass, breakbeat, electronic,"
Dog Park,Festina Lente,LP,April 19,April 25,3.5,★★★✬,,"indie, ambient, indie pop, indie rock,"
Young Miko,att.,LP,April 5,April 24,3.5,★★★✬,,"rap, trap, puerto rico, hip-hop,"
Vessel,Wrapped In Cellophane,LP,April 2,April 24,3.5,★★★✬,,"idm, electronic, ambient, downtempo,"
Kelly Moran,Moves in the Field,LP,March 29,4/23,3.5,★★★✬,,"experimental, ambient, electronic, contemporary classical,"
SeeYouSpaceCowboy,Cou de Grâce,LP,April 19,April 22,3.5,★★★✬,,"metalcore, mathcore, grindcore, post-hardcore,"
BIG|BRAVE,A Chaos Of Flowers,LP,April 19,April 22,3.5,★★★✬,,"drone, sludge, doom metal, noise rock,"
Maggie Rogers,Don't Forget Me,LP,April 12,April 15,3.5,★★★✬,,"indie pop, pop, folk, singer-songwriter,"
GloRilla,Ehhtang Ehhtan,LP,April 5,April 12,3.5,★★★✬,,"rap, hip-hop, hip hop, memphis,"
Jane Penny,Surfacing,LP,April 5,April 11,3.5,★★★✬,,"electronic, indie pop, synth pop, dream pop,"
Maxband,On Ice,LP,April 5,April 9,3.5,★★★✬,,"rock, indie, pop, new york,"
Burning Lord,Arcane Demolition,LP,April 9,April 9,3.5,★★★✬,,"hardcore, hardcore punk, crossover, thrash metal,"
Fabiana Palladino,Fabiana Palladino,LP,April 5,April 5,3.5,★★★✬,,"synthpop, electronic, british, electropop,"
Mount Kimbie,The Sunset Violent,LP,April 5,April 5,3.5,★★★✬,,"dubstep, electronic, ambient, experimental,"
Reyna Tropical,Malegría,LP,March 29,April 3,3.5,★★★✬,,"latin, electronic, world, psychedelic,"
Chastity Belt,Live Laugh Love,LP,March 29,March 29,3.5,★★★✬,,"indie rock, post-punk, indie, seattle,"
Julia Holter,Something in the Room She Moves,LP,March 22,March 27,3.5,★★★✬,,"experimental, ambient, electronic, lo-fi,"
SPACED,This Is All We Ever Get,LP,March 22,March 26,3.5,★★★✬,,"hardcore, hardcore punk, punk, female vocalists,"
Adrianne Lenker,Bright Future,LP,March 22,March 25,3.5,★★★✬,,"singer-songwriter, female vocalists, indie folk, folk,"
Rosali,Bite Down,LP,March 22,March 22,3.5,★★★✬,,"folk, indie, rock, philadelphia,"
Jlin,Akoma,LP,March 22,March 22,3.5,★★★✬,,"footwork, juke, electronic, experimental,"
The Messthetics,The Messthetics and James Brandon Lewis,LP,March 15,March 15,3.5,★★★✬,,"experimental, post-hardcore, instrumental, jazz,"
Kim Gordon,The Collective,LP,March 8,March 11,3.5,★★★✬,,"experimental, noise rock, rock, female vocalists,"
Everything Everything,Mountainhead,LP,March 1,March 4,3.5,★★★✬,,"indie, indie pop, british, alternative,"
YUGYEOM,TRUST ME,LP,February 21,February 29,3.5,★★★✬,,"soul, rnb, k-rnb, got7,"
Tollbooth,Instructions For Chess,LP,February 29,February 29,3.5,★★★✬,,"indie rock, pop rock, indietronica, rock,"
Hurray For The Riff Raff,The Past Is Still Alive,LP,February 23,February 26,3.5,★★★✬,,"folk, blues, new orleans, female vocalist,"
Erika de Casier,Still,LP,February 23,February 26,3.5,★★★✬,,"rnb, soul, alternative rnb, pop,"
Geotic,The Anchorite,LP,February 21,February 26,3.5,★★★✬,,"ambient, drone, electronic, minimal,"
Danielle Durack,Escape Artist,LP,February 16,February 22,3.5,★★★✬,,"indie, folk, indie pop, pop,"
Armbruster,Can I Sit Here,LP,February 16,February 22,3.5,★★★✬,,"experimental, contemporary classical, modern classical, noise,"
Chelsea Wolfe,She Reaches Out To She Reaches Out To She,LP,February 9,February 12,3.5,★★★✬,,"experimental, folk, female vocalists, singer-songwriter,"
The Chisel,What A Fucking Nightmare,LP,February 9,February 12,3.5,★★★✬,,"oi, punk, punk rock, street punk,"
Ducks Ltd.,Harm's Way,LP,February 9,February 9,3.5,★★★✬,,"jangle pop, indie pop, indie rock, c86,"
Bill Ryder-Jones,Iechyd Da,LP,January 12,February 8,3.5,★★★✬,,"indie, folk, singer-songwriter, british,"
Vijay Iyer • Linda May Han Oh • Tyshawn Sorey,Compassion,LP,February 2,February 5,3.5,★★★✬,,"jazz, piano, modern jazz, jazz piano,"
The Last Dinner Party,Prelude to Ecstasy,LP,February 1,February 2,3.5,★★★✬,,"indie rock, glam rock, alternative, indie,"
Benny The Butcher,Everybody Can't Go,LP,January 26,January 30,3.5,★★★✬,,"rap, gangsta rap, hip-hop, hip hop,"
The Smile,Wall Of Eyes,LP,January 26,January 26,3.5,★★★✬,,"post-punk, art rock, alternative rock, indie rock,"
Courting,New Last Name,LP,January 26,January 26,3.5,★★★✬,,"post-punk, crank wave, indie rock, art punk,"
Bolts of Melody,Film Noir,LP,January 19,January 24,3.5,★★★✬,,"garage rock, psychedelic rock, soundtrack, indie,"
Be Safe,Unwell,LP,January 19,January 23,3.5,★★★✬,,"indie, rock, alternative rock, emo,"
Kali Uchis,ORQUÍDEAS,LP,January 12,January 12,3.5,★★★✬,,"rnb, neo-soul, soul, pop,"
Marika Hackman,Big Sigh,LP,January 12,January 12,3.5,★★★✬,,"singer-songwriter, british, indie, folk,"
Lazer Bullet,Spirit Suck Shit,LP,January 9,January 9,3.5,★★★✬,,"punk, hardcore, hardcore punk,"
GRAY STATE,Under the Wheels of Progress,LP,January 5,January 5,3.5,★★★✬,,"metalcore, hardcore, hardcore punk, metallic hardcore,"
Secret World,Guilt Is Good,EP,November 15,November 18,3.5,★★★✬,,"hardcore, punk, punk rock, australia,"
Robin Guthrie,Astoria,EP,November 8,November 15,3.5,★★★✬,,"ambient, dream pop, ethereal, post-rock,"
Former Champ,Vol. 2,EP,November 8,November 11,3.5,★★★✬,,"indie rock, garage rock,"
FIDLAR,DOGHOUSE,EP,September 20,September 20,3.5,★★★✬,,"garage rock, lo-fi, punk, skate punk,"
Fcukers,Baggy$$,EP,September 6,September 12,3.5,★★★✬,,"pop, dance, house, electronic,"
GEL,Persona,EP,August 16,August 19,3.5,★★★✬,,"hardcore punk, hardcore, electronica, punk,"
Kerosene Heights,LEAVING,EP,June 7,June 7,3.5,★★★✬,,"emo, indie, shoegaze, punk rock,"
Wisp,Pandora,EP,April 5,April 24,3.5,★★★✬,,"idm, electronic, ambient, experimental,"
EarthGang,ROBOPHOBIA,EP,February 23,February 23,3.5,★★★✬,,"hip-hop, rap, hip hop, jazz rap,"
Rose Chamber,State of Affairs,EP,January 30,January 31,3.5,★★★✬,,"darkwave, punk, industrial, new wave,"
Les Breastfeeders,La ville engloutie,LP,November 8,December 3,3.0,★★★,,"rock, francophone, montreal, canadian,"
Opeth,The Last Will And Testament,LP,November 22,December 2,3.0,★★★,,"progressive metal, progressive death metal, death metal, metal,"
Full Of Hell • Andrew Nolan,Scraping The Devine,LP,November 15,November 18,3.0,★★★,,"grindcore, powerviolence, hardcore, sludge,"
Amyl and the Sniffers ,Cartoon Darkness,LP,October 25,November 6,3.0,★★★,,"punk, garage rock, punk rock, garage punk,"
Naked Roommate,Pass The Loofah,LP,October 25,November 5,3.0,★★★,,"experimental, indie pop, indie rock, usa,"
THUS LOVE,All Pleasure,LP,November 1,November 4,3.0,★★★,,"post-punk, shoegaze, indie rock, new wave,"
Halsey,The Great Impersonator,LP,October 25,October 30,3.0,★★★,,"pop, indie pop, indie, female vocalists,"
Pom Pom Squad,Mirror Starts Moving Without Me,LP,October 25,October 30,3.0,★★★,,"indie rock, indie, alternative, punk,"
Soccer Mommy,Evergreen,LP,October 25,October 29,3.0,★★★,,"indie pop, indie, singer-songwriter, indie rock,"
Megan Thee Stallion,MEGAN: ACT II,LP,October 25,October 29,3.0,★★★,,"rap, hip-hop, trap, hip hop,"
cumgirl8,the 8th cumming,LP,October 4,October 16,3.0,★★★,,"post-punk, crank wave, riot grrrl, punk rock,"
Medicine,Medicine,LP,October 1,October 9,3.0,★★★,,"shoegaze, dream pop, noise, noise pop,"
A Place To Bury Strangers,Synthesizer,LP,October 4,October 9,3.0,★★★,,"shoegaze, post-punk, noise rock, noise,"
The Black Dahlia Murder ,Servitude,LP,September 27,September 30,3.0,★★★,,"melodic death metal, death metal, deathcore, metalcore,"
fantasy of a broken heart,Feats of Engineering,LP,September 27,September 30,3.0,★★★,,"indie, indie rock, usa, shoegaze,"
SOPHIE,SOPHIE,LP,September 27,September 27,3.0,★★★,,"bubblegum bass, electronic, eurobeat, experimental,"
Starcleaner Reunion,Café Life,LP,September 20,September 24,3.0,★★★,,"indie pop, indie rock, shoegaze, noise pop,"
Future,MIXTAPE PLUTO,LP,September 20,September 23,3.0,★★★,,"hip-hop, rap, trap, hip hop,"
Regional Justice Center,FREEDOM SWEET FREEDOM,LP,September 20,September 20,3.0,★★★,,"hardcore, powerviolence, punk, hardcore punk,"
Sunset Rubdown,Always Happy to Explode,LP,September 20,September 20,3.0,★★★,,"indie, indie rock, canadian, experimental,"
My Brightest Diamond,Fight The Real Terror,LP,September 13,September 18,3.0,★★★,,"female vocalists, indie, singer-songwriter, folk,"
The Jesus Lizard,Rack,LP,September 13,September 18,3.0,★★★,,"noise rock, grunge, alternative, noise,"
Cursive,Devourer,LP,September 13,September 17,3.0,★★★,,"indie, indie rock, emo, alternative,"
Varsity,Souvenirs,LP,February 16,September 16,3.0,★★★,,"rnb, pop, indie rock, post-hardcore,"
The The,Ensoulment,LP,September 6,September 12,3.0,★★★,,"new wave, post-punk, alternative, 80s,"
Public Opinion,Painted On Smile,LP,September 6,September 10,3.0,★★★,,"punk rock, punk, college rock, garage rock,"
Ty Segall,Love Rudiments,LP,August 30,September 5,3.0,★★★,,"garage rock, lo-fi, garage punk, garage,"
Chime School,The Boy Who Ran The Paisley Hotel,LP,August 23,September 3,3.0,★★★,,"indie pop, indie rock, jangle pop, the glorious new indiepop revival of the 2020s,"
Nails,Every Bridge Burning,LP,August 30,September 3,3.0,★★★,,"grindcore, hardcore, powerviolence, crust,"
Fake Fruit,Mucho Mistrust,LP,August 23,August 28,3.0,★★★,,"indie rock, indie pop, post-punk, indie,"
illuminati hotties,POWER,LP,August 23,August 27,3.0,★★★,,"power pop, indie rock, indie pop, indie,"
Heems,VEENA,LP,August 23,August 27,3.0,★★★,,"hip-hop, rap, hip hop, das racist,"
Kishi Bashi,Kantos,LP,August 23,August 27,3.0,★★★,,"indie, folk, pop, indie pop,"
SPIRIT OF THE BEEHIVE,YOU HAVE TO LOSE SOMETHING,LP,August 23,August 26,3.0,★★★,,"shoegaze, indie rock, noise pop, neo-psychedelia,"
Mura Masa,Curve 1,LP,August 23,August 26,3.0,★★★,,"electronic, trap, british, future bass,"
Tinashe,Quantum Baby,LP,August 16,August 19,3.0,★★★,,"rnb, pop, soul, hip-hop,"
Post Malone,F-1 Trillion,LP,August 16,August 19,3.0,★★★,,"hip-hop, rap, trap, pop,"
Kali Uchis,ORQUÍDEAS PARTE 2,LP,August 9,August 13,3.0,★★★,,"rnb, neo-soul, soul, pop,"
Chrytsabell • David Lynch,Cellophane Memories,LP,August 2,August 8,3.0,★★★,,"experimental, dark ambient, avant-garde, ambient,"
JPEGMAFIA,I LAY DOWN MY LIFE FOR YOU,LP,August 1,August 5,3.0,★★★,,"hip-hop, experimental, experimental hip-hop, glitch hop,"
Nightshift,Homosapien,LP,July 26,July 30,3.0,★★★,,"electronic, experimental, indie rock, post-punk,"
Mustard,Faith Of A Mustard Seed,LP,July 26,July 29,3.0,★★★,,"rap, hip hop, rnb, trap,"
Respire,Hiraeth,LP,July 26,July 29,3.0,★★★,,"screamo, post-rock, post-metal, blackgaze,"
Cults,To the Ghosts,LP,July 26,July 26,3.0,★★★,,"indie pop, lo-fi, experimental, noise,"
Lilacs & Champagne ,Fantasy World,LP,July 19,July 25,3.0,★★★,,"trip-hop,"
Childish Gambino,Bando Stone and The New World,LP,July 19,July 23,3.0,★★★,,"hip-hop, rap, indie, hip hop,"
Johnny Blue Skies,Passage Du Desir,LP,July 12,July 15,3.0,★★★,,"country, americana, alternative, folk,"
Macseal,Permanent Repeat,LP,July 12,July 15,3.0,★★★,,"emo, indie, math rock, indie rock,"
Sumac,The Healer,LP,June 21,July 9,3.0,★★★,,"sludge, post-metal, sludge metal, progressive metal,"
Zach Bryan,The Great American Bar Scene,LP,July 4,July 8,3.0,★★★,,"country, singer-songwriter, americana, alt-country,"
Annabel,Worldviews,LP,June 14,July 3,3.0,★★★,,"indie, indie rock, emo, indie pop"
The Early November,The Early November,LP,June 14,July 3,3.0,★★★,,"emo, indie, rock, alternative,"
Kehlani,CRASH,LP,June 21,July 3,3.0,★★★,,"rnb, soul, pop, hip-hop,"
Boldy James • Conductor Williams,Across The Tracks,LP,June 28,July 1,3.0,★★★,,"rap, hip-hop, detroit, hip hop,"
Channel Tres,Head Rush,LP,June 28,July 1,3.0,★★★,,"house, hip house, electronic, hip-hop,"
James Blake • Lil Yachty ,Bad Cameo,LP,June 28,June 28,3.0,★★★,,"electronic, dubstep, experimental, downtempo,"
Normani,DOPAMINE,LP,June 14,June 26,3.0,★★★,,"rnb, soul, pop, fifth harmony,"
The Story So Far,I Want To Disappear,LP,June 21,June 24,3.0,★★★,,"pop punk, melodic hardcore, punk, pop-punk,"
Prize Horse,Under Sound,LP,February 16,June 17,3.0,★★★,,"alternative rock, shoegaze, emo, grunge,"
That Mexican OT,Texas Technician,LP,March 1,June 17,3.0,★★★,,"rap, texas, trap, hip-hop,"
Bonny Light Horseman,Keep Me On Your Mind,LP,June 7,June 11,3.0,★★★,,"folk, usa, american, country,"
King Hannah,Big Swimmer,LP,May 31,June 10,3.0,★★★,,"indie rock, alternative rock, indie, female vocalists,"
Actress,Statik,LP,June 7,June 7,3.0,★★★,,"electronic, experimental, idm, techno,"
Idaho,Lapse,LP,May 31,June 6,3.0,★★★,,"slowcore, indie, indie rock, shoegaze,"
Arooj Aftab,Night Reign,LP,May 31,June 5,3.0,★★★,,"female vocalists, pakistani, jazz, singer-songwriter,"
Wavedash,Tempo,LP,May 3,May 23,3.0,★★★,,"dubstep, electronic, future bass, american,"
Rapsody,Please Don't Cry,LP,May 17,May 21,3.0,★★★,,"rap, hip-hop, hip hop, female emcees,"
Beth Gibbons,Lives Outgrown,LP,May 17,May 21,3.0,★★★,,"trip-hop, female vocalists, electronic, trip hop,"
One Step Closer,All You Embrace,LP,May 17,May 20,3.0,★★★,,"hardcore, melodic hardcore, post-hardcore, straight edge,"
Billie Eilish,HIT ME HARD AND SOFT,LP,May 17,May 17,3.0,★★★,,"pop, indie pop, electropop, indie,"
Yaya Bey,Ten Fold,LP,May 10,May 14,3.0,★★★,,"rnb, soul, pop, hip-hop,"
Chief Keef,Almight So 2,LP,May 10,May 13,3.0,★★★,,"hip-hop, rap, drill, trap,"
Corridor,Mimi,LP,April 26,May 10,3.0,★★★,,"alternative, indie rock, post-punk, art rock,"
Kamasi Washington,Fearless Movement,LP,May 3,May 7,3.0,★★★,,"jazz, fusion, free jazz, jazz fusion,"
The Woodentops,Fruits Of The Deep,LP,April 22,May 2,3.0,★★★,,"new wave, indie pop, 80s, alternative,"
Full Of Hell,Coagulated Bliss,LP,April 26,April 30,3.0,★★★,,"grindcore, powerviolence, hardcore, sludge,"
Six Organs of Admittance,Time is Glass,LP,April 26,April 30,3.0,★★★,,"folk, experimental, psychedelic, freak folk,"
Kharma,A World Of Our Own,LP,April 12,April 25,3.0,★★★,,"hardcore, hard rock, rock, aor,"
claire rousay,sentiment,LP,April 19,April 25,3.0,★★★,,"experimental, ambient, electronic, electroacoustic,"
Phosphorescent,Revelator,LP,April 5,April 24,3.0,★★★,,"folk, singer-songwriter, indie, lo-fi,"
Alice Coltrane,The Carnegie Hall Concert (Live),LP,March 22,April 22,3.0,★★★,,"jazz, free jazz, avant-garde, experimental,"
High on Fire,Cometh The Storm,LP,April 19,April 19,3.0,★★★,,"stoner metal, doom metal, sludge, metal,"
Ekko Astral,pink balloons,LP,April 19,April 19,3.0,★★★,,"punk, indie rock, noise rock, punk rock,"
Gangrene,"Heads I Win, Tails You Lose",LP,April 19,April 19,3.0,★★★,,"hip-hop, underground hip-hop, rap, stones throw,"
sleepmakeswaves,"It's Here, But I Have No Names For It",LP,April 12,April 15,3.0,★★★,,"post-rock, instrumental, experimental, australian,"
RiTchie,Triple Digits [112],LP,April 5,April 9,3.0,★★★,,"80s, rock, brazil, nova california seixas,"
Beyoncé,Cowboy Carter,LP,March 29,April 1,3.0,★★★,,"rnb, pop, female vocalists, soul,"
Boris • Coaltar Of The Deepers,"""hello there""",LP,March 22,March 27,3.0,★★★,,"drone, stoner rock, experimental, sludge,"
Rosie Tucker,UTOPIA NOW!,LP,March 22,March 26,3.0,★★★,,"indie pop, indie rock, power pop, singer-songwriter,"
Future • Metro Boomin,WE DON'T TRUST YOU,LP,March 22,March 25,3.0,★★★,,"hip-hop, rap, trap, hip hop,"
bedbug,pack your bags the sun is growing,LP,March 15,March 18,3.0,★★★,,"indie pop, lo-fi, bedroom pop, rare sad boy,"
Tierra Whack,WORLD WIDE WHACK,LP,March 15,March 18,3.0,★★★,,"hip-hop, rap, rnb, hip hop,"
Flo Milli,"Fine Ho, Stay",LP,March 15,March 18,3.0,★★★,,"hip-hop, rap, trap, hip hop,"
Kacey Musgraves,Deeper Well,LP,March 15,March 15,3.0,★★★,,"country, female vocalists, singer-songwriter, contemporary country,"
Ariana Grande,eternal sunshine,LP,March 8,March 11,3.0,★★★,,"pop, rnb, female vocalists, ariana grande,"
Schoolboy Q,BLUE LIPS,LP,March 1,March 6,3.0,★★★,,"hip-hop, rap, underground hip-hop, west coast rap,"
STRFKR,Parallel Realms,LP,March 1,March 4,3.0,★★★,,"electronic, indie pop, indie, portland,"
Nils Frahm,Day,LP,March 1,March 4,3.0,★★★,,"piano, ambient, contemporary classical, modern classical,"
Laetitia Sadier,Rooting for Love,LP,February 23,February 28,3.0,★★★,,"indie, post-rock, new wave, french,"
Mary Timony,Untame the Tiger,LP,February 23,February 28,3.0,★★★,,"indie, female vocalists, singer-songwriter, indie rock,"
Glitterer,Rationale,LP,February 23,February 23,3.0,★★★,,"indie, punk, dream pop, emo,"
MGMT,Loss Of Life,LP,February 23,February 23,3.0,★★★,,"electronic, indie, psychedelic, alternative,"
El Perro del Mar,Big Anonymous,LP,February 16,February 22,3.0,★★★,,"swedish, female vocalists, indie pop, indie,"
Yeat,2093,LP,February 16,February 22,3.0,★★★,,"trap, rap, plugg, rage,"
IDLES,TANGK,LP,February 16,February 16,3.0,★★★,,"post-punk, crank wave, post-hardcore, punk,"
Omni,Souvenir,LP,February 16,February 16,3.0,★★★,,"post-punk, indie rock, progressive rock, crank wave,"
Madi Diaz,Weird Faith,LP,February 9,February 15,3.0,★★★,,"indie, nashville, americana, alt-country,"
Brittany Howard,What Now,LP,February 9,February 9,3.0,★★★,,"soul, blues, blues rock, funk,"
Pouty,Forgot About Me,LP,February 9,February 9,3.0,★★★,,"indie pop, indie, indie rock, usa,"
Amiture,Mother Engine,LP,February 9,February 9,3.0,★★★,,"new wave, electronic, synthpop, synthwave,"
Sarah Jarosz,Polaroid Lovers,LP,January 26,February 5,3.0,★★★,,"folk, bluegrass, singer-songwriter, female vocalists,"
Fabiano do Nascimento • Sam Gendel,The Room,LP,January 26,February 2,3.0,★★★,,"jazz, guitar, brazilian, brazil,"
Olhava,Sacrifice,LP,January 26,January 31,3.0,★★★,,"atmospheric black metal, blackgaze, black metal, post-black metal,"
Ty Segall,Three Bells,LP,January 26,January 30,3.0,★★★,,"garage rock, lo-fi, garage punk, garage,"
Torres,What an enormous room,LP,January 26,January 30,3.0,★★★,,"indie, folk, alternative, indie rock,"
Katy Kirby,Blue Raspberry,LP,January 26,January 26,3.0,★★★,,"indie folk, indie pop, singer-songwriter, indie,"
Hot Garbage,Precious Dream,LP,January 19,January 25,3.0,★★★,,"indie rock, punk rock, garage rock, psychedelic rock,"
@ ,"Are You There God? It's Me, @ ",LP,January 12,January 12,3.0,★★★,,"indie folk, indietronica, psychedelic folk, art pop,"
CHANCE デラソウル,In Media Rez,LP,January 5,January 11,3.0,★★★,,"future funk, house, plunderphonics, electronic,"
SPRINTS,Letter to Self,LP,January 5,January 5,3.0,★★★,,"post-punk, crank wave, indie rock, riot grrrl,"
Red Sun • Bonus,Unnecessary Riffness,EP,December 6,December 9,3.0,★★★,,"indie, avant-garde, japanese, electronic,"
Bon Iver,"SABLE,",EP,October 18,October 18,3.0,★★★,,"folk, indie, singer-songwriter, acoustic,"
Pale Waves,Thinking About You,EP,September 13,September 20,3.0,★★★,,"indie pop, pop, indie, synthpop,"
Panda Bear • Sonic Boom,Reset Mariachi EP,EP,August 16,August 19,3.0,★★★,,"experimental, psychedelic, freak folk, indie,"
Sonagi,Everything Is Longing,EP,August 2,August 7,3.0,★★★,,"screamo, post-hardcore, hardcore, hardcore punk,"
BADBADNOTGOOD,Mid Spiral: Chaos,EP,May 15,May 16,3.0,★★★,,"jazz, experimental, hip-hop, instrumental hip-hop,"
Wild Pink,Strawberry Eraser,EP,March 21,March 21,3.0,★★★,,"indie rock, indie, american, pop,"
Sweet Pill,Startchild,EP,March 15,March 18,3.0,★★★,,"emo, pop punk, midwest emo, indie,"
Anika Pyle,Four Corners,EP,February 2,February 5,3.0,★★★,,"emo, indie pop, usa, indie folk,"
Militarie Gun,Life Under The Sun,EP,January 26,January 26,3.0,★★★,,"hardcore, post-hardcore, emo, alternative rock,"
Undeath,More Insane,LP,October 4,October 8,2.5,★★✬,,"death metal, metal, old school death metal, usa,"
The Wolfgang Press,A 2nd Shape,LP,September 27,October 2,2.5,★★✬,,"post-punk, 4ad, gothic, alternative,"
The WAEVE,City Lights,LP,September 20,September 24,2.5,★★✬,,"indie rock, indie pop, folk, pop,"
Toro y Moi,Hole Erth,LP,September 6,September 9,2.5,★★✬,,"chillwave, electronic, lo-fi, psychedelic,"
Emu,Emu,LP,September 6,September 9,2.5,★★✬,,"dubstep, electronic, dub, indie,"
Kehlani,While We Wait 2,LP,August 30,September 5,2.5,★★✬,,"rnb, soul, pop, hip-hop,"
ericdoa,DOA,LP,January 19,August 30,2.5,★★✬,,"hyperpop, digicore, electronic, glitchcore,"
YACHT,New Release,LP,August 23,August 29,2.5,★★✬,,"electronic, experimental, indie pop, indie,"
